"","Tissue","eRNA_ID","Age_Rs","Age_FDR","BMI_Rs","BMI_FDR","Height_Rs","Height_FDR","Weight_Rs","Weight_FDR","Gender_Fold","Gender_FDR","Race_F","Race_FDR"
"Adipose_sub ENSR00000115516","Adipose_sub","ENSR00000115516","0.3084","0","","","","","","","","","",""
"Adipose_sub ENSR00000115517","Adipose_sub","ENSR00000115517","0.3189","0","","","","","","","","","",""
"Adipose_sub ENSR00000132714","Adipose_sub","ENSR00000132714","0.3058","0","","","","","","","","","",""
"Adipose_sub ENSR00000222504","Adipose_sub","ENSR00000222504","0.3026","0","","","","","","","","","",""
"Adipose_sub ENSR00000235934","Adipose_sub","ENSR00000235934","0.3002","0","","","","","","","","","",""
"Adipose_sub ENSR00000273528","Adipose_sub","ENSR00000273528","0.3204","0","","","","","","","","","",""
"Adipose_sub ENSR00000290515","Adipose_sub","ENSR00000290515","0.3554","0","","","","","","","","","",""
"Adipose_sub ENSR00000292873","Adipose_sub","ENSR00000292873","0.306","0","","","","","","","","","",""
"Adipose_sub 19:16331596-16337596","Adipose_sub","19:16331596-16337596","0.3009","0","","","","","","","","","",""
"Adipose_sub 2:38085593-38091593","Adipose_sub","2:38085593-38091593","0.3508","0","","","","","","","","","",""
"Adipose_sub 2:38086625-38092625","Adipose_sub","2:38086625-38092625","0.3652","0","","","","","","","","","",""
"Adipose_vis ENSR00000001120","Adipose_vis","ENSR00000001120","-0.3152","0","","","","","","","","","",""
"Adipose_vis ENSR00000004307","Adipose_vis","ENSR00000004307","0.3001","0","","","","","","","","","",""
"Adipose_vis ENSR00000006211","Adipose_vis","ENSR00000006211","0.375","0","","","","","","","","","",""
"Adipose_vis ENSR00000007880","Adipose_vis","ENSR00000007880","-0.3166","0","","","","","","","","","",""
"Adipose_vis ENSR00000008884","Adipose_vis","ENSR00000008884","0.3111","0","","","","","","","","","",""
"Adipose_vis ENSR00000011593","Adipose_vis","ENSR00000011593","0.3314","0","","","","","","","","","",""
"Adipose_vis ENSR00000012623","Adipose_vis","ENSR00000012623","0.3086","0","","","","","","","","","",""
"Adipose_vis ENSR00000012792","Adipose_vis","ENSR00000012792","0.3138","0","","","","","","","","","",""
"Adipose_vis ENSR00000013830","Adipose_vis","ENSR00000013830","-0.3099","0","","","","","","","","","",""
"Adipose_vis ENSR00000014072","Adipose_vis","ENSR00000014072","0.3056","0","","","","","","","","","",""
"Adipose_vis ENSR00000014432","Adipose_vis","ENSR00000014432","-0.3773","0","","","","","","","","","",""
"Adipose_vis ENSR00000018066","Adipose_vis","ENSR00000018066","0.3024","0","","","","","","","","","",""
"Adipose_vis ENSR00000018957","Adipose_vis","ENSR00000018957","0.3133","0","","","","","","","","","",""
"Adipose_vis ENSR00000019814","Adipose_vis","ENSR00000019814","0.3046","0","","","","","","","","","",""
"Adipose_vis ENSR00000019817","Adipose_vis","ENSR00000019817","0.3044","0","","","","","","","","","",""
"Adipose_vis ENSR00000021861","Adipose_vis","ENSR00000021861","0.3152","0","","","","","","","","","",""
"Adipose_vis ENSR00000025318","Adipose_vis","ENSR00000025318","0.3318","0","","","","","","","","","",""
"Adipose_vis ENSR00000025479","Adipose_vis","ENSR00000025479","0.3251","0","","","","","","","","","",""
"Adipose_vis ENSR00000025588","Adipose_vis","ENSR00000025588","-0.3232","0","","","","","","","","","",""
"Adipose_vis ENSR00000025615","Adipose_vis","ENSR00000025615","0.3074","0","","","","","","","","","",""
"Adipose_vis ENSR00000025616","Adipose_vis","ENSR00000025616","0.3368","0","","","","","","","","","",""
"Adipose_vis ENSR00000025640","Adipose_vis","ENSR00000025640","0.364","0","","","","","","","","","",""
"Adipose_vis ENSR00000028942","Adipose_vis","ENSR00000028942","0.3333","0","","","","","","","","","",""
"Adipose_vis ENSR00000029357","Adipose_vis","ENSR00000029357","-0.318","0","","","","","","","","","",""
"Adipose_vis ENSR00000029358","Adipose_vis","ENSR00000029358","-0.3249","0","","","","","","","","","",""
"Adipose_vis ENSR00000030664","Adipose_vis","ENSR00000030664","-0.3126","0","","","","","","","","","",""
"Adipose_vis ENSR00000030665","Adipose_vis","ENSR00000030665","-0.3417","0","","","","","","","","","",""
"Adipose_vis ENSR00000030780","Adipose_vis","ENSR00000030780","0.3381","0","","","","","","","","","",""
"Adipose_vis ENSR00000032981","Adipose_vis","ENSR00000032981","0.3279","0","","","","","","","","","",""
"Adipose_vis ENSR00000033793","Adipose_vis","ENSR00000033793","0.347","0","","","","","","","","","",""
"Adipose_vis ENSR00000033794","Adipose_vis","ENSR00000033794","0.3511","0","","","","","","","","","",""
"Adipose_vis ENSR00000033795","Adipose_vis","ENSR00000033795","0.3454","0","","","","","","","","","",""
"Adipose_vis ENSR00000033800","Adipose_vis","ENSR00000033800","0.4073","0","","","","","","","","","",""
"Adipose_vis ENSR00000033803","Adipose_vis","ENSR00000033803","0.3277","0","","","","","","","","","",""
"Adipose_vis ENSR00000034270","Adipose_vis","ENSR00000034270","0.3301","0","","","","","","","","","",""
"Adipose_vis ENSR00000034271","Adipose_vis","ENSR00000034271","0.3433","0","","","","","","","","","",""
"Adipose_vis ENSR00000034272","Adipose_vis","ENSR00000034272","0.3109","0","","","","","","","","","",""
"Adipose_vis ENSR00000036330","Adipose_vis","ENSR00000036330","0.3549","0","","","","","","","","","",""
"Adipose_vis ENSR00000036645","Adipose_vis","ENSR00000036645","0.348","0","","","","","","","","","",""
"Adipose_vis ENSR00000036867","Adipose_vis","ENSR00000036867","0.3669","0","","","","","","","","","",""
"Adipose_vis ENSR00000036903","Adipose_vis","ENSR00000036903","0.3474","0","","","","","","","","","",""
"Adipose_vis ENSR00000036904","Adipose_vis","ENSR00000036904","0.3436","0","","","","","","","","","",""
"Adipose_vis ENSR00000036905","Adipose_vis","ENSR00000036905","0.3358","0","","","","","","","","","",""
"Adipose_vis ENSR00000042170","Adipose_vis","ENSR00000042170","-0.3509","0","","","","","","","","","",""
"Adipose_vis ENSR00000042234","Adipose_vis","ENSR00000042234","0.3597","0","","","","","","","","","",""
"Adipose_vis ENSR00000042235","Adipose_vis","ENSR00000042235","0.3486","0","","","","","","","","","",""
"Adipose_vis ENSR00000042236","Adipose_vis","ENSR00000042236","0.3492","0","","","","","","","","","",""
"Adipose_vis ENSR00000042917","Adipose_vis","ENSR00000042917","0.3052","0","","","","","","","","","",""
"Adipose_vis ENSR00000043164","Adipose_vis","ENSR00000043164","-0.3722","0","","","","","","","","","",""
"Adipose_vis ENSR00000043699","Adipose_vis","ENSR00000043699","0.307","0","","","","","","","","","",""
"Adipose_vis ENSR00000045189","Adipose_vis","ENSR00000045189","0.3435","0","","","","","","","","","",""
"Adipose_vis ENSR00000045190","Adipose_vis","ENSR00000045190","0.355","0","","","","","","","","","",""
"Adipose_vis ENSR00000045191","Adipose_vis","ENSR00000045191","0.3616","0","","","","","","","","","",""
"Adipose_vis ENSR00000045192","Adipose_vis","ENSR00000045192","0.3431","0","","","","","","","","","",""
"Adipose_vis ENSR00000045193","Adipose_vis","ENSR00000045193","0.347","0","","","","","","","","","",""
"Adipose_vis ENSR00000045194","Adipose_vis","ENSR00000045194","0.324","0","","","","","","","","","",""
"Adipose_vis ENSR00000045197","Adipose_vis","ENSR00000045197","0.3212","0","","","","","","","","","",""
"Adipose_vis ENSR00000045198","Adipose_vis","ENSR00000045198","0.352","0","","","","","","","","","",""
"Adipose_vis ENSR00000045199","Adipose_vis","ENSR00000045199","0.3513","0","","","","","","","","","",""
"Adipose_vis ENSR00000045211","Adipose_vis","ENSR00000045211","0.3102","0","","","","","","","","","",""
"Adipose_vis ENSR00000045218","Adipose_vis","ENSR00000045218","0.3239","0","","","","","","","","","",""
"Adipose_vis ENSR00000045219","Adipose_vis","ENSR00000045219","0.3264","0","","","","","","","","","",""
"Adipose_vis ENSR00000045220","Adipose_vis","ENSR00000045220","0.3339","0","","","","","","","","","",""
"Adipose_vis ENSR00000045223","Adipose_vis","ENSR00000045223","0.3493","0","","","","","","","","","",""
"Adipose_vis ENSR00000045224","Adipose_vis","ENSR00000045224","0.3402","0","","","","","","","","","",""
"Adipose_vis ENSR00000046881","Adipose_vis","ENSR00000046881","0.318","0","","","","","","","","","",""
"Adipose_vis ENSR00000046882","Adipose_vis","ENSR00000046882","0.3285","0","","","","","","","","","",""
"Adipose_vis ENSR00000046883","Adipose_vis","ENSR00000046883","0.3264","0","","","","","","","","","",""
"Adipose_vis ENSR00000048211","Adipose_vis","ENSR00000048211","0.332","0","","","","","","","","","",""
"Adipose_vis ENSR00000048226","Adipose_vis","ENSR00000048226","0.306","0","","","","","","","","","",""
"Adipose_vis ENSR00000048844","Adipose_vis","ENSR00000048844","0.3505","0","","","","","","","","","",""
"Adipose_vis ENSR00000049335","Adipose_vis","ENSR00000049335","0.3691","0","","","","","","","","","",""
"Adipose_vis ENSR00000049338","Adipose_vis","ENSR00000049338","0.3225","0","","","","","","","","","",""
"Adipose_vis ENSR00000050725","Adipose_vis","ENSR00000050725","0.3046","0","","","","","","","","","",""
"Adipose_vis ENSR00000055780","Adipose_vis","ENSR00000055780","0.3038","0","","","","","","","","","",""
"Adipose_vis ENSR00000058752","Adipose_vis","ENSR00000058752","0.363","0","","","","","","","","","",""
"Adipose_vis ENSR00000060423","Adipose_vis","ENSR00000060423","0.3724","0","","","","","","","","","",""
"Adipose_vis ENSR00000060424","Adipose_vis","ENSR00000060424","0.344","0","","","","","","","","","",""
"Adipose_vis ENSR00000060425","Adipose_vis","ENSR00000060425","0.3198","0","","","","","","","","","",""
"Adipose_vis ENSR00000060426","Adipose_vis","ENSR00000060426","0.3281","0","","","","","","","","","",""
"Adipose_vis ENSR00000060433","Adipose_vis","ENSR00000060433","0.3076","0","","","","","","","","","",""
"Adipose_vis ENSR00000060434","Adipose_vis","ENSR00000060434","0.3022","0","","","","","","","","","",""
"Adipose_vis ENSR00000060435","Adipose_vis","ENSR00000060435","0.3094","0","","","","","","","","","",""
"Adipose_vis ENSR00000061264","Adipose_vis","ENSR00000061264","-0.3089","0","","","","","","","","","",""
"Adipose_vis ENSR00000062453","Adipose_vis","ENSR00000062453","0.3372","0","","","","","","","","","",""
"Adipose_vis ENSR00000069278","Adipose_vis","ENSR00000069278","0.3167","0","","","","","","","","","",""
"Adipose_vis ENSR00000070127","Adipose_vis","ENSR00000070127","-0.3026","0","","","","","","","","","",""
"Adipose_vis ENSR00000070128","Adipose_vis","ENSR00000070128","-0.3075","0","","","","","","","","","",""
"Adipose_vis ENSR00000070129","Adipose_vis","ENSR00000070129","-0.3256","0","","","","","","","","","",""
"Adipose_vis ENSR00000070372","Adipose_vis","ENSR00000070372","0.306","0","","","","","","","","","",""
"Adipose_vis ENSR00000075942","Adipose_vis","ENSR00000075942","-0.3086","0","","","","","","","","","",""
"Adipose_vis ENSR00000078317","Adipose_vis","ENSR00000078317","-0.3155","0","","","","","","","","","",""
"Adipose_vis ENSR00000078318","Adipose_vis","ENSR00000078318","-0.3003","0","","","","","","","","","",""
"Adipose_vis ENSR00000078396","Adipose_vis","ENSR00000078396","0.3213","0","","","","","","","","","",""
"Adipose_vis ENSR00000082126","Adipose_vis","ENSR00000082126","0.3306","0","","","","","","","","","",""
"Adipose_vis ENSR00000083232","Adipose_vis","ENSR00000083232","0.3176","0","","","","","","","","","",""
"Adipose_vis ENSR00000083233","Adipose_vis","ENSR00000083233","0.3294","0","","","","","","","","","",""
"Adipose_vis ENSR00000083234","Adipose_vis","ENSR00000083234","0.3517","0","","","","","","","","","",""
"Adipose_vis ENSR00000087958","Adipose_vis","ENSR00000087958","0.3161","0","","","","","","","","","",""
"Adipose_vis ENSR00000092353","Adipose_vis","ENSR00000092353","0.3685","0","","","","","","","","","",""
"Adipose_vis ENSR00000094394","Adipose_vis","ENSR00000094394","-0.3175","0","","","","","","","","","",""
"Adipose_vis ENSR00000094395","Adipose_vis","ENSR00000094395","-0.3787","0","","","","","","","","","",""
"Adipose_vis ENSR00000098633","Adipose_vis","ENSR00000098633","0.3695","0","","","","","","","","","",""
"Adipose_vis ENSR00000102210","Adipose_vis","ENSR00000102210","0.307","0","","","","","","","","","",""
"Adipose_vis ENSR00000102715","Adipose_vis","ENSR00000102715","0.306","0","","","","","","","","","",""
"Adipose_vis ENSR00000102716","Adipose_vis","ENSR00000102716","0.3128","0","","","","","","","","","",""
"Adipose_vis ENSR00000103532","Adipose_vis","ENSR00000103532","0.3069","0","","","","","","","","","",""
"Adipose_vis ENSR00000103533","Adipose_vis","ENSR00000103533","0.3091","0","","","","","","","","","",""
"Adipose_vis ENSR00000103822","Adipose_vis","ENSR00000103822","0.3486","0","","","","","","","","","",""
"Adipose_vis ENSR00000106615","Adipose_vis","ENSR00000106615","0.3101","0","","","","","","","","","",""
"Adipose_vis ENSR00000106756","Adipose_vis","ENSR00000106756","0.3095","0","","","","","","","","","",""
"Adipose_vis ENSR00000107745","Adipose_vis","ENSR00000107745","0.3039","0","","","","","","","","","",""
"Adipose_vis ENSR00000114581","Adipose_vis","ENSR00000114581","0.309","0","","","","","","","","","",""
"Adipose_vis ENSR00000114668","Adipose_vis","ENSR00000114668","-0.3066","0","","","","","","","","","",""
"Adipose_vis ENSR00000115249","Adipose_vis","ENSR00000115249","0.3125","0","","","","","","","","","",""
"Adipose_vis ENSR00000115250","Adipose_vis","ENSR00000115250","0.3082","0","","","","","","","","","",""
"Adipose_vis ENSR00000115251","Adipose_vis","ENSR00000115251","0.3271","0","","","","","","","","","",""
"Adipose_vis ENSR00000115254","Adipose_vis","ENSR00000115254","0.3378","0","","","","","","","","","",""
"Adipose_vis ENSR00000115255","Adipose_vis","ENSR00000115255","0.3156","0","","","","","","","","","",""
"Adipose_vis ENSR00000115256","Adipose_vis","ENSR00000115256","0.3081","0","","","","","","","","","",""
"Adipose_vis ENSR00000115257","Adipose_vis","ENSR00000115257","0.3132","0","","","","","","","","","",""
"Adipose_vis ENSR00000115265","Adipose_vis","ENSR00000115265","0.3791","0","","","","","","","","","",""
"Adipose_vis ENSR00000116628","Adipose_vis","ENSR00000116628","0.3213","0","","","","","","","","","",""
"Adipose_vis ENSR00000116991","Adipose_vis","ENSR00000116991","-0.3491","0","","","","","","","","","",""
"Adipose_vis ENSR00000117208","Adipose_vis","ENSR00000117208","0.3057","0","","","","","","","","","",""
"Adipose_vis ENSR00000118065","Adipose_vis","ENSR00000118065","-0.3079","0","","","","","","","","","",""
"Adipose_vis ENSR00000121244","Adipose_vis","ENSR00000121244","0.3441","0","","","","","","","","","",""
"Adipose_vis ENSR00000121245","Adipose_vis","ENSR00000121245","0.3443","0","","","","","","","","","",""
"Adipose_vis ENSR00000121246","Adipose_vis","ENSR00000121246","0.3433","0","","","","","","","","","",""
"Adipose_vis ENSR00000125453","Adipose_vis","ENSR00000125453","0.3195","0","","","","","","","","","",""
"Adipose_vis ENSR00000128088","Adipose_vis","ENSR00000128088","0.3153","0","","","","","","","","","",""
"Adipose_vis ENSR00000128089","Adipose_vis","ENSR00000128089","0.3175","0","","","","","","","","","",""
"Adipose_vis ENSR00000132020","Adipose_vis","ENSR00000132020","0.3295","0","","","","","","","","","",""
"Adipose_vis ENSR00000132972","Adipose_vis","ENSR00000132972","0.3161","0","","","","","","","","","",""
"Adipose_vis ENSR00000135150","Adipose_vis","ENSR00000135150","-0.3418","0","","","","","","","","","",""
"Adipose_vis ENSR00000135151","Adipose_vis","ENSR00000135151","-0.3063","0","","","","","","","","","",""
"Adipose_vis ENSR00000135425","Adipose_vis","ENSR00000135425","0.3065","0","","","","","","","","","",""
"Adipose_vis ENSR00000136905","Adipose_vis","ENSR00000136905","0.3212","0","","","","","","","","","",""
"Adipose_vis ENSR00000139815","Adipose_vis","ENSR00000139815","0.3161","0","","","","","","","","","",""
"Adipose_vis ENSR00000140773","Adipose_vis","ENSR00000140773","0.3146","0","","","","","","","","","",""
"Adipose_vis ENSR00000142879","Adipose_vis","ENSR00000142879","0.3219","0","","","","","","","","","",""
"Adipose_vis ENSR00000147516","Adipose_vis","ENSR00000147516","0.3049","0","","","","","","","","","",""
"Adipose_vis ENSR00000148140","Adipose_vis","ENSR00000148140","-0.3206","0","","","","","","","","","",""
"Adipose_vis ENSR00000148141","Adipose_vis","ENSR00000148141","-0.3225","0","","","","","","","","","",""
"Adipose_vis ENSR00000149187","Adipose_vis","ENSR00000149187","0.3263","0","","","","","","","","","",""
"Adipose_vis ENSR00000150147","Adipose_vis","ENSR00000150147","0.3433","0","","","","","","","","","",""
"Adipose_vis ENSR00000150148","Adipose_vis","ENSR00000150148","0.3524","0","","","","","","","","","",""
"Adipose_vis ENSR00000150149","Adipose_vis","ENSR00000150149","0.3398","0","","","","","","","","","",""
"Adipose_vis ENSR00000150180","Adipose_vis","ENSR00000150180","0.3321","0","","","","","","","","","",""
"Adipose_vis ENSR00000150181","Adipose_vis","ENSR00000150181","0.3288","0","","","","","","","","","",""
"Adipose_vis ENSR00000151859","Adipose_vis","ENSR00000151859","0.3404","0","","","","","0.3321","<0.0001","","","",""
"Adipose_vis ENSR00000152586","Adipose_vis","ENSR00000152586","0.3075","0","","","","","","","","","",""
"Adipose_vis ENSR00000155007","Adipose_vis","ENSR00000155007","0.3002","0","","","","","","","","","",""
"Adipose_vis ENSR00000155532","Adipose_vis","ENSR00000155532","-0.3457","0","","","","","","","","","",""
"Adipose_vis ENSR00000155533","Adipose_vis","ENSR00000155533","-0.344","0","","","","","","","","","",""
"Adipose_vis ENSR00000155534","Adipose_vis","ENSR00000155534","-0.3408","0","","","","","","","","","",""
"Adipose_vis ENSR00000155535","Adipose_vis","ENSR00000155535","-0.3058","0","","","","","","","","","",""
"Adipose_vis ENSR00000155983","Adipose_vis","ENSR00000155983","0.3377","0","","","","","","","","","",""
"Adipose_vis ENSR00000155994","Adipose_vis","ENSR00000155994","0.3007","0","","","","","","","","","",""
"Adipose_vis ENSR00000156851","Adipose_vis","ENSR00000156851","0.3339","0","","","","","","","","","",""
"Adipose_vis ENSR00000157096","Adipose_vis","ENSR00000157096","0.3133","0","","","","","","","","","",""
"Adipose_vis ENSR00000157978","Adipose_vis","ENSR00000157978","0.3133","0","","","","","","","","","",""
"Adipose_vis ENSR00000158880","Adipose_vis","ENSR00000158880","0.3212","0","","","","","","","","","",""
"Adipose_vis ENSR00000159698","Adipose_vis","ENSR00000159698","0.3038","0","","","","","","","","","",""
"Adipose_vis ENSR00000161287","Adipose_vis","ENSR00000161287","-0.3352","0","","","","","","","","","",""
"Adipose_vis ENSR00000161288","Adipose_vis","ENSR00000161288","-0.3316","0","","","","","","","","","",""
"Adipose_vis ENSR00000161289","Adipose_vis","ENSR00000161289","-0.3139","0","","","","","","","","","",""
"Adipose_vis ENSR00000161290","Adipose_vis","ENSR00000161290","-0.302","0","","","","","","","","","",""
"Adipose_vis ENSR00000161524","Adipose_vis","ENSR00000161524","0.3046","0","","","","","","","","","",""
"Adipose_vis ENSR00000161525","Adipose_vis","ENSR00000161525","0.3485","0","","","","","","","","","",""
"Adipose_vis ENSR00000161616","Adipose_vis","ENSR00000161616","0.3243","0","","","","","","","","","",""
"Adipose_vis ENSR00000163538","Adipose_vis","ENSR00000163538","0.3016","0","","","","","","","","","",""
"Adipose_vis ENSR00000164811","Adipose_vis","ENSR00000164811","0.302","0","","","","","","","","","",""
"Adipose_vis ENSR00000165726","Adipose_vis","ENSR00000165726","0.3436","0","","","","","","","","","",""
"Adipose_vis ENSR00000170449","Adipose_vis","ENSR00000170449","0.3515","0","","","","","","","","","",""
"Adipose_vis ENSR00000170450","Adipose_vis","ENSR00000170450","0.3566","0","","","","","","","","","",""
"Adipose_vis ENSR00000170451","Adipose_vis","ENSR00000170451","0.3556","0","","","","","","","","","",""
"Adipose_vis ENSR00000170452","Adipose_vis","ENSR00000170452","0.3572","0","","","","","","","","","",""
"Adipose_vis ENSR00000171461","Adipose_vis","ENSR00000171461","0.3196","0","","","","","","","","","",""
"Adipose_vis ENSR00000173224","Adipose_vis","ENSR00000173224","0.3715","0","","","","","","","","","",""
"Adipose_vis ENSR00000174118","Adipose_vis","ENSR00000174118","-0.3174","0","","","","","","","","","",""
"Adipose_vis ENSR00000175968","Adipose_vis","ENSR00000175968","0.3201","0","","","","","","","","","",""
"Adipose_vis ENSR00000175971","Adipose_vis","ENSR00000175971","0.3282","0","","","","","","","","","",""
"Adipose_vis ENSR00000176012","Adipose_vis","ENSR00000176012","0.3457","0","","","","","","","","","",""
"Adipose_vis ENSR00000176013","Adipose_vis","ENSR00000176013","0.3302","0","","","","","","","","","",""
"Adipose_vis ENSR00000176909","Adipose_vis","ENSR00000176909","0.3485","0","","","","","","","","","",""
"Adipose_vis ENSR00000180024","Adipose_vis","ENSR00000180024","0.3417","0","","","","","","","","","",""
"Adipose_vis ENSR00000180753","Adipose_vis","ENSR00000180753","0.3371","0","","","","","","","","","",""
"Adipose_vis ENSR00000183245","Adipose_vis","ENSR00000183245","0.3026","0","","","","","","","","","",""
"Adipose_vis ENSR00000186060","Adipose_vis","ENSR00000186060","0.3634","0","","","","","","","","","",""
"Adipose_vis ENSR00000190764","Adipose_vis","ENSR00000190764","0.3256","0","","","","","","","","","",""
"Adipose_vis ENSR00000190962","Adipose_vis","ENSR00000190962","-0.3007","0","","","","","","","","","",""
"Adipose_vis ENSR00000192215","Adipose_vis","ENSR00000192215","0.304","0","","","","","","","","","",""
"Adipose_vis ENSR00000192761","Adipose_vis","ENSR00000192761","0.3068","0","","","","","","","","","",""
"Adipose_vis ENSR00000196027","Adipose_vis","ENSR00000196027","0.3456","0","","","","","","","","","",""
"Adipose_vis ENSR00000196028","Adipose_vis","ENSR00000196028","0.3844","0","","","","","","","","","",""
"Adipose_vis ENSR00000197722","Adipose_vis","ENSR00000197722","0.3348","0","","","","","","","","","",""
"Adipose_vis ENSR00000201190","Adipose_vis","ENSR00000201190","0.4017","0","","","","","","","","","",""
"Adipose_vis ENSR00000201191","Adipose_vis","ENSR00000201191","0.3976","0","","","","","","","","","",""
"Adipose_vis ENSR00000201194","Adipose_vis","ENSR00000201194","0.3445","0","","","","","","","","","",""
"Adipose_vis ENSR00000201195","Adipose_vis","ENSR00000201195","0.3254","0","","","","","","","","","",""
"Adipose_vis ENSR00000201196","Adipose_vis","ENSR00000201196","0.3321","0","","","","","","","","","",""
"Adipose_vis ENSR00000201224","Adipose_vis","ENSR00000201224","0.3365","0","","","","","","","","","",""
"Adipose_vis ENSR00000201225","Adipose_vis","ENSR00000201225","0.3142","0","","","","","","","","","",""
"Adipose_vis ENSR00000201785","Adipose_vis","ENSR00000201785","0.3162","0","","","","","","","","","",""
"Adipose_vis ENSR00000202263","Adipose_vis","ENSR00000202263","0.3343","0","","","","","","","","","",""
"Adipose_vis ENSR00000202593","Adipose_vis","ENSR00000202593","0.3048","0","","","","","","","","","",""
"Adipose_vis ENSR00000204492","Adipose_vis","ENSR00000204492","0.3028","0","","","","","","","","","",""
"Adipose_vis ENSR00000205023","Adipose_vis","ENSR00000205023","0.3551","0","","","","","","","","","",""
"Adipose_vis ENSR00000205211","Adipose_vis","ENSR00000205211","0.3599","0","","","","","","","","","",""
"Adipose_vis ENSR00000206825","Adipose_vis","ENSR00000206825","0.3507","0","","","","","","","","","",""
"Adipose_vis ENSR00000210904","Adipose_vis","ENSR00000210904","0.3089","0","","","","","","","","","",""
"Adipose_vis ENSR00000215082","Adipose_vis","ENSR00000215082","0.3033","0","","","","","","","","","",""
"Adipose_vis ENSR00000215421","Adipose_vis","ENSR00000215421","0.3178","0","","","","","","","","","",""
"Adipose_vis ENSR00000218538","Adipose_vis","ENSR00000218538","0.3004","0","","","","","","","","","",""
"Adipose_vis ENSR00000218959","Adipose_vis","ENSR00000218959","0.3056","0","","","","","","","","","",""
"Adipose_vis ENSR00000218960","Adipose_vis","ENSR00000218960","0.3211","0","","","","","","","","","",""
"Adipose_vis ENSR00000219101","Adipose_vis","ENSR00000219101","0.3423","0","","","","","","","","","",""
"Adipose_vis ENSR00000219102","Adipose_vis","ENSR00000219102","0.339","0","","","","","","","","","",""
"Adipose_vis ENSR00000221610","Adipose_vis","ENSR00000221610","0.3631","0","","","","","","","","","",""
"Adipose_vis ENSR00000221786","Adipose_vis","ENSR00000221786","0.3262","0","","","","","","","","","",""
"Adipose_vis ENSR00000222556","Adipose_vis","ENSR00000222556","0.3455","0","","","","","","","","","",""
"Adipose_vis ENSR00000223041","Adipose_vis","ENSR00000223041","0.3129","0","","","","","","","","","",""
"Adipose_vis ENSR00000226327","Adipose_vis","ENSR00000226327","0.3041","0","","","","","","","","","",""
"Adipose_vis ENSR00000230267","Adipose_vis","ENSR00000230267","0.3136","0","","","","","","","","","",""
"Adipose_vis ENSR00000230268","Adipose_vis","ENSR00000230268","0.3072","0","","","","","","","","","",""
"Adipose_vis ENSR00000230269","Adipose_vis","ENSR00000230269","0.3234","0","","","","","","","","","",""
"Adipose_vis ENSR00000233736","Adipose_vis","ENSR00000233736","0.355","0","","","","","","","","","",""
"Adipose_vis ENSR00000233738","Adipose_vis","ENSR00000233738","0.3708","0","","","","","","","","","",""
"Adipose_vis ENSR00000233739","Adipose_vis","ENSR00000233739","0.4235","0","","","","","","","","","",""
"Adipose_vis ENSR00000234527","Adipose_vis","ENSR00000234527","0.3078","0","","","","","","","","","",""
"Adipose_vis ENSR00000234528","Adipose_vis","ENSR00000234528","0.3126","0","","","","","","","","","",""
"Adipose_vis ENSR00000234529","Adipose_vis","ENSR00000234529","0.3162","0","","","","","","","","","",""
"Adipose_vis ENSR00000234530","Adipose_vis","ENSR00000234530","0.3162","0","","","","","","","","","",""
"Adipose_vis ENSR00000235932","Adipose_vis","ENSR00000235932","0.3043","0","","","","","","","","","",""
"Adipose_vis ENSR00000235933","Adipose_vis","ENSR00000235933","0.3122","0","","","","","","","","","",""
"Adipose_vis ENSR00000238038","Adipose_vis","ENSR00000238038","-0.3129","0","","","","","","","","","",""
"Adipose_vis ENSR00000241151","Adipose_vis","ENSR00000241151","0.3912","0","","","","","","","","","",""
"Adipose_vis ENSR00000242472","Adipose_vis","ENSR00000242472","0.3191","0","","","","","","","","","",""
"Adipose_vis ENSR00000242489","Adipose_vis","ENSR00000242489","0.322","0","","","","","","","","","",""
"Adipose_vis ENSR00000252274","Adipose_vis","ENSR00000252274","-0.3026","0","","","","","","","","","",""
"Adipose_vis ENSR00000254806","Adipose_vis","ENSR00000254806","-0.3796","0","","","","","","","","","",""
"Adipose_vis ENSR00000257384","Adipose_vis","ENSR00000257384","-0.3894","0","","","","","","","","","",""
"Adipose_vis ENSR00000258579","Adipose_vis","ENSR00000258579","0.3383","0","","","","","","","","","",""
"Adipose_vis ENSR00000258582","Adipose_vis","ENSR00000258582","0.3746","0","","","","","","","","","",""
"Adipose_vis ENSR00000259136","Adipose_vis","ENSR00000259136","0.4032","0","","","","","","","","","",""
"Adipose_vis ENSR00000259137","Adipose_vis","ENSR00000259137","0.3955","0","","","","","","","","","",""
"Adipose_vis ENSR00000260389","Adipose_vis","ENSR00000260389","-0.302","0","","","","","","","","","",""
"Adipose_vis ENSR00000261526","Adipose_vis","ENSR00000261526","0.4028","0","","","","","","","","","",""
"Adipose_vis ENSR00000262648","Adipose_vis","ENSR00000262648","0.3553","0","","","","","","","","","",""
"Adipose_vis ENSR00000262649","Adipose_vis","ENSR00000262649","0.3348","0","","","","","","","","","",""
"Adipose_vis ENSR00000262828","Adipose_vis","ENSR00000262828","0.3193","0","","","","","","","","","",""
"Adipose_vis ENSR00000264911","Adipose_vis","ENSR00000264911","-0.3654","0","","","","","","","","","",""
"Adipose_vis ENSR00000265960","Adipose_vis","ENSR00000265960","0.3438","0","","","","","","","","","",""
"Adipose_vis ENSR00000265965","Adipose_vis","ENSR00000265965","0.3433","0","","","","","","","","","",""
